"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
19,"Youden",-1.57731958765,0.858247423,1,FALSE,0.737689184200812,0.684114679463517,0.0535745047372954
19,"Distance",-1.57731958765,0.858247423,1,FALSE,0.737689184200812,0.684114679463517,0.0535745047372954
20,"Youden",-0.69029209625,0.1323024055,2,FALSE,0.659554571182478,0.666961978589886,-0.00740740740740742
20,"Distance",-1.63101374575,2.058848797,1,FALSE,0.621311677125631,0.67525532176695,-0.0539436446413191
21,"Youden",-0.6967353952,2.5206185565,2,FALSE,0.759246954595792,0.672129937246216,0.0871170173495756
21,"Distance",-1.6825601375,2.5206185565,1,FALSE,0.746154792666421,0.66713424387843,0.0790205487879907
22,"Youden",-1.63101374575,-0.12757731955,2,FALSE,0.679242032730405,0.654583487141627,0.0246585455887782
22,"Distance",-1.63101374575,0.6112542955,1,FALSE,0.653771379352775,0.692235757352036,-0.0384643779992617
23,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.770887166236003,0.692235757352036,0.0786514088839669
23,"Distance",-1.63101374575,2.056701031,1,FALSE,0.722529838808909,0.67525532176695,0.0472745170419588
24,"Youden",-1.63101374575,1.219072165,1,FALSE,0.771207087486157,0.683745539559493,0.0874615479266642
24,"Distance",-1.63101374575,2.056701031,1,FALSE,0.763086009597638,0.67525532176695,0.0878306878306878
25,"Youden",-1.01030927835,1.219072165,1,FALSE,0.735966531315368,0.682022886674049,0.0539436446413191
25,"Distance",-1.57731958765,1.219072165,1,FALSE,0.729248185062139,0.675993601574997,0.0532545834871416
26,"Youden",-1.220790378,1.219072165,1,FALSE,0.736286452565522,0.674960009843731,0.0613264427217917
26,"Distance",-1.220790378,1.219072165,1,FALSE,0.736286452565522,0.674960009843731,0.0613264427217917
27,"Youden",-1.4656357388,0.606958763,1,FALSE,0.676042820228867,0.684139288790452,-0.00809646856158486
27,"Distance",-1.4656357388,0.858247423,1,FALSE,0.675673680324843,0.683770148886428,-0.00809646856158486
28,"Youden",-0.3316151203,2.056701031,1,FALSE,0.679906484557647,0.679906484557647,0
28,"Distance",-1.4742268041,2.056701031,1,FALSE,0.667503383782454,0.674910791189861,-0.00740740740740742
29,"Youden",-1.63101374575,2.681701031,1,FALSE,0.81348591116033,0.65901316598991,0.15447274517042
29,"Distance",-1.63101374575,2.681701031,1,FALSE,0.81348591116033,0.65901316598991,0.15447274517042
30,"Youden",-0.6967353952,2.058848797,1,FALSE,0.751814937861449,0.680251015134736,0.0715639227267134
30,"Distance",-1.63101374575,2.058848797,1,FALSE,0.73837824535499,0.67525532176695,0.0631229235880398
31,"Youden",-0.3316151203,0.609106529,1,FALSE,0.750830564784053,0.696886920142734,0.0539436446413191
31,"Distance",-1.4656357388,1.0107388315,1,FALSE,0.737369262950658,0.667897133013412,0.0694721299372462
32,"Youden",-0.69029209625,-0.17912371135,2,FALSE,0.667331118493909,0.651827242524917,0.0155038759689922
32,"Distance",-1.4742268041,0.6112542955,1,FALSE,0.635831180017226,0.691891226774948,-0.0560600467577212
33,"Youden",-1.01030927835,1.219072165,1,FALSE,0.682342807924203,0.682022886674049,0.000319921250153787
33,"Distance",-1.63101374575,1.219072165,1,FALSE,0.675968992248062,0.683745539559493,-0.00777654731143107
34,"Youden",-0.69029209625,-0.07817869415,4,FALSE,0.675083056478405,0.659579180509413,0.0155038759689922
34,"Distance",-1.6825601375,0.858247423,1,FALSE,0.629457364341085,0.691866617448013,-0.0624092531069276
35,"Youden",-1.56872852235,0.6112542955,1,FALSE,0.721102497846684,0.68448381936754,0.0366186784791436
35,"Distance",-1.56872852235,0.6112542955,1,FALSE,0.721102497846684,0.68448381936754,0.0366186784791436
36,"Youden",-1.4742268041,0.130154639,1,FALSE,0.677150239940938,0.66162175464501,0.0155284852959271
36,"Distance",-1.6825601375,1.0622852235,1,FALSE,0.644247569828965,0.675993601574997,-0.0317460317460317
37,"Youden",-0.3316151203,0.858247423,1,FALSE,0.720487264673311,0.69651778023871,0.0239694844346007
37,"Distance",-1.01030927835,1.47895189,1,FALSE,0.705967761781715,0.67390180878553,0.0320659529961855
38,"Youden",-0.69029209625,0.609106529,2,FALSE,0.721200935154424,0.697231450719823,0.0239694844346007
38,"Distance",-1.220790378,2.058848797,1,FALSE,0.713006029285099,0.666469792051187,0.0465362372339116
39,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.779328165374677,0.692235757352036,0.0870924080226405
39,"Distance",-1.63101374575,0.858247423,1,FALSE,0.778959025470653,0.691866617448013,0.0870924080226405
40,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.756343054017473,0.692235757352036,0.0641072966654361
40,"Distance",-1.4742268041,0.6112542955,1,FALSE,0.755653992863295,0.691891226774948,0.0637627660883474
41,"Youden",-0.32946735395,1.47895189,1,FALSE,0.743398548049711,0.672523686477175,0.070874861572536
41,"Distance",-1.63101374575,1.47895189,1,FALSE,0.739091915836102,0.675624461670973,0.0634674541651287
42,"Youden",-1.63101374575,2.681701031,1,FALSE,0.703088470530331,0.65901316598991,0.0440753045404207
42,"Distance",-1.63101374575,2.5206185565,1,FALSE,0.695705672449858,0.66713424387843,0.0285714285714286
